timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14135.243,-9587.714,-8833.320,-3515.259,-7359.446,3227.436,-10713.124,-2871.506,-608.191,0
14135.243,-9585.546,-8832.984,-3510.073,-7361.994,3228.106,-10716.477,-2859.615,-607.431,0
14135.243,-9585.858,-8831.331,-3507.123,-7350.975,3224.954,-10708.653,-2869.316,-608.325,0
14135.243,-9587.691,-8830.369,-3508.464,-7340.380,3219.769,-10701.144,-2890.930,-608.325,0
14135.244,-9589.703,-8831.397,-3512.219,-7346.258,3221.468,-10704.116,-2873.831,-607.453,0
14135.244,-9591.200,-8835.443,-3514.454,-7359.558,3227.324,-10710.643,-2853.156,-587.158,0
14135.244,-9588.026,-8835.868,-3511.370,-7361.704,3230.520,-10710.151,-2846.204,-568.427,0
14135.244,-9585.501,-8832.091,-3509.269,-7350.460,3226.541,-10704.787,-2859.280,-586.309,0
14135.301,-9586.015,-8826.503,-3511.705,-7342.034,3219.568,-10703.669,-2885.186,-624.150,0
14135.301,-9589.055,-8829.609,-3516.421,-7349.410,3220.819,-10705.614,-2879.955,-610.739,0
14135.301,-9587.267,-8833.745,-3515.505,-7362.150,3224.105,-10714.398,-2867.930,-593.059,0
14135.301,-9582.573,-8833.343,-3509.872,-7364.207,3225.983,-10716.388,-2857.715,-587.337,0
14135.301,-9577.409,-8827.575,-3506.005,-7352.606,3221.781,-10711.939,-2870.635,-610.806,0
14135.302,-9580.539,-8827.575,-3508.285,-7342.548,3217.131,-10707.000,-2879.709,-618.495,0
14135.302,-9582.729,-8831.264,-3512.398,-7348.672,3218.182,-10711.269,-2877.675,-612.862,0
14135.302,-9578.907,-8831.555,-3513.180,-7361.256,3224.217,-10717.550,-2871.305,-600.971,0
14135.302,-9573.699,-8830.526,-3508.084,-7362.754,3228.128,-10717.975,-2855.815,-595.115,0
14135.302,-9574.258,-8828.671,-3505.022,-7352.606,3225.647,-10710.441,-2856.240,-580.721,0
14135.302,-9577.187,-8827.106,-3507.771,-7342.749,3221.691,-10703.401,-2869.092,-590.846,0
14135.303,-9577.745,-8825.787,-3511.057,-7348.114,3222.675,-10706.575,-2864.219,-598.714,0
14135.303,-9572.827,-8824.066,-3508.598,-7358.351,3228.486,-10713.481,-2854.742,-588.611,0
14135.303,-9571.665,-8826.749,-3506.810,-7362.933,3228.978,-10717.818,-2852.418,-586.890,0
14135.303,-9570.950,-8824.961,-3504.240,-7351.846,3226.318,-10711.492,-2861.671,-597.350,0
14135.361,-9570.503,-8819.439,-3505.402,-7341.676,3221.512,-10704.519,-2881.900,-613.824,0
14135.361,-9571.598,-8817.339,-3509.939,-7349.410,3221.557,-10706.664,-2880.313,-620.753,0
14135.361,-9572.269,-8820.646,-3510.051,-7362.352,3228.017,-10710.509,-2861.761,-595.026,0
14135.361,-9573.855,-8824.290,-3507.346,-7364.944,3231.749,-10709.458,-2844.952,-572.473,0
14135.362,-9573.521,-8821.026,-3503.837,-7353.299,3228.844,-10702.127,-2854.027,-575.155,0
14135.362,-9573.387,-8815.975,-3504.798,-7341.699,3224.910,-10695.891,-2868.265,-598.334,0
14135.362,-9574.728,-8816.534,-3507.145,-7346.281,3227.458,-10698.148,-2859.682,-599.831,0
14135.362,-9574.571,-8819.864,-3505.960,-7358.798,3233.269,-10705.569,-2845.578,-588.141,0
14135.362,-9572.962,-8821.831,-3502.675,-7361.480,3235.862,-10705.904,-2838.336,-573.456,0
14135.362,-9573.274,-8818.635,-3500.328,-7352.360,3231.369,-10699.042,-2847.456,-580.922,0
14135.362,-9572.224,-8811.370,-3500.976,-7342.526,3227.771,-10692.002,-2860.621,-603.139,0
14135.363,-9571.353,-8810.142,-3504.843,-7346.728,3228.084,-10695.846,-2874.077,-606.939,0
14135.363,-9571.285,-8814.701,-3506.251,-7359.982,3233.135,-10702.730,-2863.549,-584.520,0
14135.363,-9574.079,-8819.797,-3504.709,-7365.101,3236.510,-10702.574,-2846.651,-547.372,0
14135.363,-9575.085,-8820.065,-3501.200,-7354.037,3233.940,-10698.372,-2833.620,-569.902,0
14135.421,-9574.169,-8816.221,-3502.831,-7342.503,3227.838,-10696.114,-2858.587,-610.560,0
14135.421,-9576.604,-8816.735,-3510.833,-7349.120,3227.525,-10698.931,-2867.550,-595.003,0
14135.421,-9575.688,-8821.272,-3511.660,-7360.876,3233.739,-10705.614,-2853.357,-577.703,0
14135.422,-9574.034,-8823.373,-3507.078,-7363.044,3234.968,-10709.637,-2842.807,-575.155,0
14135.422,-9575.196,-8822.233,-3504.552,-7352.517,3228.620,-10706.419,-2855.927,-595.585,0
14135.422,-9579.108,-8821.429,-3508.307,-7342.906,3222.294,-10702.396,-2881.319,-620.551,0
14135.422,-9581.410,-8826.391,-3513.180,-7349.902,3223.099,-10704.340,-2878.100,-609.219,0
14135.422,-9582.662,-8831.196,-3513.493,-7362.396,3229.246,-10710.375,-2857.022,-586.577,0
14135.422,-9579.958,-8831.487,-3510.386,-7364.811,3230.364,-10714.220,-2847.076,-588.231,0
14135.423,-9576.627,-8826.436,-3505.938,-7353.210,3226.497,-10709.190,-2854.429,-599.116,0
14135.423,-9575.420,-8820.244,-3507.302,-7342.280,3221.535,-10701.010,-2878.659,-598.490,0
14135.423,-9574.348,-8818.567,-3511.325,-7347.510,3221.825,-10704.071,-2880.715,-607.051,0
14135.423,-9578.482,-8829.632,-3514.052,-7361.234,3226.877,-10712.208,-2851.390,-594.467,0
14135.423,-9579.220,-8837.902,-3510.900,-7363.827,3229.693,-10711.984,-2849.087,-577.435,0
14135.424,-9577.499,-8832.717,-3505.447,-7351.914,3226.229,-10707.938,-2859.861,-599.787,0
14135.481,-9579.421,-8826.815,-3506.743,-7342.257,3220.730,-10704.608,-2872.959,-620.328,0
14135.482,-9580.069,-8827.039,-3510.342,-7347.332,3220.752,-10707.871,-2880.939,-620.328,0
14135.482,-9583.623,-8835.265,-3513.381,-7361.592,3227.547,-10711.850,-2855.592,-582.531,0
14135.482,-9582.551,-8836.673,-3510.140,-7365.056,3230.408,-10712.364,-2847.523,-572.853,0
14135.482,-9581.679,-8833.565,-3507.123,-7353.210,3228.285,-10704.272,-2854.072,-584.364,0
14135.482,-9583.221,-8829.319,-3509.135,-7343.107,3224.843,-10697.276,-2865.874,-599.228,0
14135.483,-9585.144,-8831.666,-3515.505,-7350.416,3223.837,-10702.708,-2876.088,-597.999,0
14135.483,-9583.981,-8836.404,-3516.354,-7363.581,3227.346,-10713.214,-2863.281,-595.339,0
14135.483,-9581.790,-8838.908,-3512.286,-7364.721,3228.285,-10716.365,-2862.521,-596.613,0
14135.483,-9585.971,-8842.730,-3511.951,-7355.021,3225.267,-10710.710,-2850.093,-603.028,0
14135.483,-9590.865,-8839.534,-3515.952,-7346.862,3224.217,-10701.211,-2865.561,-597.999,0
14135.484,-9593.056,-8841.232,-3520.042,-7353.254,3226.564,-10703.736,-2869.673,-598.177,0
14135.484,-9592.832,-8844.228,-3520.467,-7365.034,3230.453,-10711.693,-2862.141,-587.471,0
14135.484,-9589.859,-8843.378,-3515.952,-7367.269,3230.453,-10714.577,-2862.677,-582.397,0
14135.484,-9588.317,-8840.159,-3512.621,-7356.228,3226.988,-10709.302,-2868.131,-598.826,0
14135.541,-9591.179,-8837.634,-3514.477,-7347.622,3224.820,-10702.597,-2872.780,-614.986,0
14135.542,-9592.341,-8838.461,-3518.768,-7354.484,3226.541,-10705.011,-2878.592,-612.214,0
14135.542,-9589.167,-8840.763,-3517.807,-7365.950,3231.258,-10711.604,-2860.956,-593.864,0
14135.542,-9586.686,-8841.948,-3513.135,-7368.677,3232.621,-10713.079,-2847.679,-586.979,0
14135.542,-9586.373,-8838.126,-3511.012,-7356.875,3228.844,-10704.742,-2865.114,-596.948,0
14135.542,-9593.234,-8838.260,-3515.013,-7347.890,3225.781,-10698.752,-2865.918,-602.357,0
14135.542,-9592.743,-8838.350,-3519.975,-7352.941,3226.944,-10702.820,-2869.383,-603.654,0
14135.542,-9589.636,-8841.903,-3519.036,-7364.989,3232.710,-10709.637,-2856.396,-588.901,0
14135.542,-9587.714,-8842.932,-3515.952,-7368.186,3233.716,-10711.358,-2846.204,-577.033,0
14135.542,-9587.736,-8839.266,-3513.649,-7357.122,3228.262,-10706.598,-2856.419,-589.572,0
14135.542,-9588.765,-8836.181,-3514.790,-7346.728,3223.524,-10700.831,-2871.663,-606.246,0
14135.542,-9587.580,-8836.114,-3516.645,-7352.204,3222.697,-10706.799,-2883.241,-618.875,0
14135.543,-9588.139,-8842.752,-3517.069,-7366.822,3227.614,-10715.448,-2865.695,-597.552,0
14135.543,-9585.456,-8843.355,-3511.839,-7368.007,3230.408,-10716.611,-2848.752,-590.667,0
14135.543,-9583.399,-8839.914,-3509.201,-7357.099,3225.781,-10711.067,-2859.213,-600.122,0
14135.602,-9580.562,-8832.560,-3509.939,-7345.655,3221.021,-10706.419,-2882.906,-620.194,0
14135.602,-9582.685,-8831.912,-3516.242,-7352.182,3222.697,-10708.341,-2876.535,-609.666,0
14135.602,-9582.305,-8834.393,-3516.578,-7364.587,3228.240,-10715.672,-2857.402,-592.858,0
14135.603,-9579.823,-8835.756,-3512.666,-7366.286,3231.772,-10715.807,-2850.428,-584.252,0
14135.603,-9575.957,-8829.855,-3509.604,-7355.244,3228.128,-10708.766,-2864.532,-597.261,0
14135.603,-9578.035,-8827.308,-3510.923,-7345.275,3224.440,-10703.223,-2877.519,-610.337,0
14135.603,-9581.545,-8832.783,-3514.343,-7351.690,3226.229,-10706.620,-2869.740,-606.895,0
14135.603,-9579.936,-8838.640,-3512.733,-7363.380,3230.833,-10714.062,-2855.301,-591.405,0
14135.604,-9578.058,-8840.897,-3508.464,-7365.615,3232.107,-10715.002,-2843.701,-581.078,0
14135.604,-9575.778,-8834.460,-3504.955,-7354.148,3226.742,-10707.156,-2860.621,-589.617,0
14135.604,-9580.226,-8831.420,-3508.039,-7344.358,3222.786,-10701.390,-2873.496,-603.430,0
14135.604,-9584.853,-8835.265,-3513.784,-7351.645,3223.993,-10708.028,-2873.496,-617.556,0
14135.604,-9582.752,-8837.478,-3513.448,-7363.760,3229.849,-10714.442,-2866.142,-596.300,0
14135.604,-9580.718,-8837.812,-3510.207,-7366.844,3233.649,-10712.274,-2850.473,-570.975,0
14135.605,-9577.253,-8831.219,-3507.369,-7354.663,3229.559,-10707.425,-2858.788,-603.698,0
14135.662,-9580.315,-8829.096,-3510.900,-7345.432,3227.167,-10699.847,-2873.920,-602.581,0
14135.662,-9584.674,-8833.879,-3515.862,-7352.495,3228.911,-10702.238,-2867.394,-590.466,0
14135.663,-9584.450,-8839.735,-3514.901,-7364.408,3233.157,-10710.889,-2845.131,-590.131,0
14135.663,-9583.623,-8841.836,-3512.085,-7367.269,3233.716,-10713.795,-2848.886,-591.405,0
14135.663,-9581.724,-8835.936,-3509.358,-7354.663,3229.581,-10707.022,-2861.671,-609.174,0
14135.663,-9584.562,-8833.409,-3512.554,-7346.035,3225.737,-10699.914,-2878.122,-604.861,0
